id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
10739,3PA1,small_airport,Navarro Airport,40.37229919,-75.33769989,540,NA,US,US-PA,Sellersville,no,3PA1,,3PA1,,,
10740,3PA2,small_airport,Neeb Airport,40.88059998,-75.63569641,825,NA,US,US-PA,Lehighton,no,3PA2,,3PA2,,,
10741,3PA3,closed,Lehman Airport,41.3167,-76.049599,1300,NA,US,US-PA,Lehman,no,,,,,,"3PA3, 2PA2"
10742,3PA4,small_airport,Giffin Airport,41.7779007,-76.1371994,840,NA,US,US-PA,Leraysville,no,3PA4,,3PA4,,,
10743,3PA5,heliport,Davis Family Furniture Heliport,40.31029892,-79.65499878,1000,NA,US,US-PA,Adamsburg,no,3PA5,,3PA5,,,
10744,3PA6,small_airport,Fox Hollow Airport,40.99340057,-76.90019989,540,NA,US,US-PA,Lewisburg,no,3PA6,,3PA6,,,
10745,3PA7,heliport,Nason Medical Center LLC Heliport,40.339663,-78.389907,1336,NA,US,US-PA,Roaring Spring,no,3PA7,,3PA7,,,Nason Hospital
10746,3PA8,small_airport,Harris Airport,39.82040024,-75.92579651,575,NA,US,US-PA,Lincoln University,no,3PA8,,3PA8,,,
10747,3PA9,small_airport,Moyer Airport,40.29679871,-75.2480011,330,NA,US,US-PA,Line Lexington,no,3PA9,,3PA9,,,
10748,3PN0,small_airport,Schulteis Airport,39.96039963,-77.25910187,680,NA,US,US-PA,Biglerville,no,3PN0,,3PN0,,,
10749,3PN1,small_airport,Ashlawn Airport,41.62200165,-75.59629822,1511,NA,US,US-PA,Clifford,no,3PN1,,3PN1,,,
10750,3PN2,small_airport,Karlindo Airport,39.75899887,-77.34750366,530,NA,US,US-PA,Fairfield,no,3PN2,,3PN2,,,
10751,3PN3,small_airport,Countryside Airport,41.28369904,-76.03520203,1260,NA,US,US-PA,Lehman,no,3PN3,,3PN3,,,
10752,3PN4,heliport,UPMC Jameson Heliport,41.012685,-80.35172,945,NA,US,US-PA,New Castle,no,3PN4,,3PN4,,,Jameson Memorial Hospital
10753,3PN5,heliport,H.G.F. Heliport,40.56510162,-75.55799866,420,NA,US,US-PA,Allentown,no,3PN5,,3PN5,,,
10754,3PN6,small_airport,Gravel Run Airport,41.75009918,-80.08309937,1240,NA,US,US-PA,Cambridge Springs,no,3PN6,,3PN6,,,
10755,3PN7,small_airport,Stahl's Mountain Airport,41.7478981,-75.49739838,1950,NA,US,US-PA,Union Dale,no,3PN7,,3PN7,,,
10756,3PN8,heliport,Wyeth Pharmaceuticals Heliport,40.15869904,-75.46340179,186,NA,US,US-PA,Collegeville,no,3PN8,,3PN8,,,
10757,3PN9,small_airport,Phil Cain Memorial Field,40.44179916,-79.55010223,1210,NA,US,US-PA,Export,no,3PN9,,3PN9,,,
10758,3PS0,heliport,Chester County Hospital Heliport,39.97069931,-75.60379791,460,NA,US,US-PA,West Chester,no,3PS0,,3PS0,,,
10759,3PS1,heliport,Pitcairn Heliport,40.12590027,-75.07879639,190,NA,US,US-PA,Bryn Athyn,no,3PS1,,3PS1,,,
10760,3PS2,heliport,Chestnut Street Garage Heliport,40.25839996,-76.87969971,385,NA,US,US-PA,Harrisburg,no,3PS2,,3PS2,,,
10761,3PS3,heliport,Richard L Miller Heliport,40.3893013,-76.31079865,590,NA,US,US-PA,Myerstown,no,3PS3,,3PS3,,,
10762,3PS4,small_airport,Mountain Hide-Away Airport,40.72359848,-77.98739624,1604,NA,US,US-PA,Millcreek,no,3PS4,,3PS4,,,
